src,dst,dscp,size,latency
0,2,10,785723,576708
0,2,10,485691,449917
0,2,10,613,107417
0,2,10,284012,288000
0,2,10,1312,111167
0,2,10,927848,811667
0,2,10,382733,430667
0,2,10,42049,206833
0,2,10,2539,196583
0,2,10,28985,206791
0,2,10,544,212542
0,2,10,191,263708
0,2,10,70664,287292
0,2,10,783,260125
0,2,10,49471,174875
0,2,10,40599,210333
0,2,10,5006,181916
0,2,10,8312,138791
0,2,10,17766,156833
0,2,10,13721,493333
0,2,10,825090,660500
0,2,10,5029,125167
0,2,10,288,222792
0,2,10,4559,196333
0,2,10,31743,197833
0,2,10,6588,120917
0,2,10,441,119834
0,2,10,9552,163250
0,2,10,7004,143000
0,2,10,8169,162791
0,2,10,104819,219584
0,2,10,4223,115292
0,2,10,722,420792
0,2,10,643681,486875
0,2,10,699,133500
0,2,10,60575,128334
0,2,10,38,96208
0,2,10,16871,170167
0,2,10,837457,587834
0,2,10,985713,914125
0,2,10,27159,292417
0,2,10,41236,229542
0,2,10,2826,500959
0,2,10,792413,663625
0,2,10,6891,134417
0,2,10,32,83584
0,2,10,557,111417
0,2,10,9090,160375
0,2,10,1850,168292
0,2,10,2562,129958
0,2,10,385,206000
0,2,10,6856,154834
0,2,10,15156,656458
0,2,10,859095,667584
0,2,10,17571,123959
0,2,10,74861,139250
0,2,10,50337,232750
0,2,10,561493,414250
0,2,10,335874,362542
0,2,10,1322,138167
0,2,10,162786,198500
0,2,10,426,258834
0,2,10,264577,486500
0,2,10,486,249083
0,2,10,6148,270083
0,2,10,243,94625
0,2,10,96523,172333
0,2,10,239,73625
0,2,10,6413,194375
0,2,10,597364,483167
0,2,10,879133,601666
0,2,10,750,447666
0,2,10,7807,205125
0,2,10,5748,213959
0,2,10,978,159708
0,2,10,36581,239375
0,2,10,715921,661084
0,2,10,382606,525375
0,2,10,6863,235125
0,2,10,87685,520917
0,2,10,90468,254209
0,2,10,69935,272917
0,2,10,60962,253625
0,2,10,67754,215000
0,2,10,7877,369792
0,2,10,500726,445958
0,2,10,442,160500
0,2,10,9770,122500
0,2,10,731,643208
0,2,10,891132,717958
0,2,10,1823,200583
0,2,10,27094,159333
0,2,10,81087,196000
0,2,10,250370,329084
0,2,10,973345,768667
0,2,10,13232,120042
0,2,10,757012,664916
0,2,10,270252,803417
0,2,10,22,396833
0,2,10,5393,839542
0,2,10,348,771667
0,2,10,6666,155625
0,2,10,330,139333
0,2,10,689,343667
0,2,10,988590,732916
0,2,10,1573,119875
0,2,10,932,118292
0,2,10,749,147417
0,2,10,596,230916
0,2,10,103,233750
0,2,10,3308,234458
0,2,10,306074,306416
0,2,10,149330,202667
0,2,10,724,117709
0,2,10,2951,117000
0,2,10,69660,290792
0,2,10,441,201000
0,2,10,9979,184042
0,2,10,1189,180916
0,2,10,16548,363167
0,2,10,350007,392292
0,2,10,1983,131417
0,2,10,317369,379166
0,2,10,483,296750
0,2,10,176,120834
0,2,10,4062,184541
0,2,10,78328,230208
0,2,10,49456,158791
0,2,10,76919,212125
0,2,10,980,157042
0,2,10,123,92125
0,2,10,77803,207417
0,2,10,905547,664792
0,2,10,512116,429875
0,2,10,372,145208
0,2,10,14221,108208
0,2,10,142,356417
0,2,10,603132,443291
0,2,10,10352,272166
0,2,10,7890,252167
0,2,10,747,287667
0,2,10,32293,605500
0,2,10,782887,656208
0,2,10,3745,168375
0,2,10,172979,218125
0,2,10,150168,230500
0,2,10,4175,190709
0,2,10,75781,416333
0,2,10,51604,452542
0,2,10,5103,215583
0,2,10,324,231958
0,2,10,786,166250
0,2,10,45976,247459
0,2,10,173,646041
0,2,10,764578,752250
0,2,10,678,640750
0,2,10,659,641583
0,2,10,194049,493833
0,2,10,196029,447458
0,2,10,60791,194625
0,2,10,8998,451917
0,2,10,788590,797666
0,2,10,624,192625
0,2,10,642,174167
0,2,10,8477,157709
0,2,10,569,148083
0,2,10,70624,193750
0,2,10,55911,286125
0,2,10,472818,426959
0,2,10,651,315250
0,2,10,556979,453916
0,2,10,34453,216250
0,2,10,552347,593375
0,2,10,46214,495833
0,2,10,866,136500
0,2,10,8251,115958
0,2,10,746316,1383292
0,2,10,440840,1231375
0,2,10,265044,826083
0,2,10,422625,904208
0,2,10,3271,165667
0,2,10,35939,182375
0,2,10,476,153417
0,2,10,930481,642333
0,2,10,710352,778667
0,2,10,927,271458
0,2,10,95,264000
0,2,10,9469,264583
0,2,10,808,184417
0,2,10,31458,195334
0,2,10,40410,1050667
0,2,10,994546,1044333
0,2,10,67635,1029792
0,2,10,51789,325583
0,2,10,96004,330125
0,2,10,483680,637542
0,2,10,88349,529375
0,2,10,99762,342458
0,2,10,2182,146750
